X1,X2,X3,X4,Y1,Y2,Y3,Y4,WD,WS,AEP
2.640614687500000000e+05,2.640588125000000000e+05,2.640040625000000000e+05,2.640327187500000000e+05,6.505904500000000000e+06,6.505719500000000000e+06,6.504861000000000000e+06,6.505561500000000000e+06,9.900000000000000000e+01,6.000000000000000000e+00,4.440889704390453829e+00
2.640644062500000000e+05,2.640501875000000000e+05,2.640003437500000000e+05,2.640450312500000000e+05,6.505885000000000000e+06,6.505494500000000000e+06,6.504890500000000000e+06,6.505654500000000000e+06,9.990000152587890625e+01,6.000000000000000000e+00,4.449739817622324622e+00
2.640662812500000000e+05,2.640453437500000000e+05,2.639975625000000000e+05,2.640470312500000000e+05,6.505877500000000000e+06,6.505491500000000000e+06,6.504899500000000000e+06,6.505651500000000000e+06,1.008000030517578125e+02,6.000000000000000000e+00,4.501816506746595614e+00
2.640681562500000000e+05,2.640403125000000000e+05,2.639945000000000000e+05,2.640506875000000000e+05,6.505868000000000000e+06,6.505449500000000000e+06,6.504913000000000000e+06,6.505666500000000000e+06,1.016999969482421875e+02,6.000000000000000000e+00,4.546079912828341563e+00
2.640698750000000000e+05,2.640357187500000000e+05,2.639912500000000000e+05,2.640550625000000000e+05,6.505856500000000000e+06,6.505385500000000000e+06,6.504929500000000000e+06,6.505692000000000000e+06,1.025999984741210938e+02,6.000000000000000000e+00,4.577186967131122053e+00
2.640717187500000000e+05,2.640301562500000000e+05,2.639884687500000000e+05,2.640567187500000000e+05,6.505851500000000000e+06,6.505333000000000000e+06,6.504941500000000000e+06,6.505692500000000000e+06,1.035000000000000000e+02,6.000000000000000000e+00,4.610532071466506565e+00
2.640734375000000000e+05,2.640247812500000000e+05,2.639857500000000000e+05,2.640575625000000000e+05,6.505847500000000000e+06,6.505284000000000000e+06,6.504953000000000000e+06,6.505688500000000000e+06,1.044000015258789062e+02,6.000000000000000000e+00,4.659757191801631393e+00
2.640749062500000000e+05,2.640197187500000000e+05,2.639830000000000000e+05,2.640580000000000000e+05,6.505844000000000000e+06,6.505239500000000000e+06,6.504964000000000000e+06,6.505685000000000000e+06,1.053000030517578125e+02,6.000000000000000000e+00,4.716461833190633612e+00
2.640762187500000000e+05,2.640149062500000000e+05,2.639802187500000000e+05,2.640580937500000000e+05,6.505840500000000000e+06,6.505198500000000000e+06,6.504974500000000000e+06,6.505681500000000000e+06,1.061999969482421875e+02,6.000000000000000000e+00,4.782537127118371423e+00
2.640773125000000000e+05,2.640104062500000000e+05,2.639774375000000000e+05,2.640579062500000000e+05,6.505837000000000000e+06,6.505162500000000000e+06,6.504984500000000000e+06,6.505678000000000000e+06,1.070999984741210938e+02,6.000000000000000000e+00,4.862111857013042382e+00
2.640720937500000000e+05,2.640237187500000000e+05,2.639681250000000000e+05,2.640795625000000000e+05,6.505767500000000000e+06,6.505155000000000000e+06,6.505005000000000000e+06,6.505927000000000000e+06,1.080000000000000000e+02,6.000000000000000000e+00,4.893294385864170870e+00
2.640724062500000000e+05,2.640209687500000000e+05,2.639646875000000000e+05,2.640783437500000000e+05,6.505763500000000000e+06,6.505153500000000000e+06,6.505003500000000000e+06,6.505923500000000000e+06,1.089000015258789062e+02,6.000000000000000000e+00,4.932643979269727197e+00
2.640725000000000000e+05,2.640181562500000000e+05,2.639612500000000000e+05,2.640770312500000000e+05,6.505759500000000000e+06,6.505152500000000000e+06,6.505003000000000000e+06,6.505919500000000000e+06,1.098000030517578125e+02,6.000000000000000000e+00,4.971482190714907823e+00
2.640726250000000000e+05,2.640097812500000000e+05,2.639630625000000000e+05,2.640759062500000000e+05,6.505758500000000000e+06,6.504939500000000000e+06,6.505092500000000000e+06,6.505918500000000000e+06,1.106999969482421875e+02,6.000000000000000000e+00,4.973457352451153390e+00
2.640725000000000000e+05,2.640066875000000000e+05,2.639600312500000000e+05,2.640744375000000000e+05,6.505755500000000000e+06,6.504939500000000000e+06,6.505092500000000000e+06,6.505915500000000000e+06,1.115999984741210938e+02,6.000000000000000000e+00,5.007650409943387615e+00
